id,diagnosis_id,question,category,weight,answer_type,option1,option2,option3,option4,option5
1,salary-up,現在の年収に満足していますか？,awareness,1.0,satisfaction,全く満足していない,あまり満足していない,どちらでもない,やや満足している,とても満足している
2,salary-up,スキルアップのために月にどのくらい学習していますか？,action,1.2,frequency,ほぼやっていない,月に1〜2時間程度,月に5〜10時間程度,月に20時間以上,ほぼ毎日学習している
3,salary-up,転職や副業を具体的に検討したことがありますか？,action,1.1,experience,全くない,考えたことはある,調べたことがある,具体的に動いたことがある,継続的に取り組んでいる
4,salary-up,自分の市場価値を把握していますか？,market,1.1,behavior,全く把握していない,なんとなく分かる,少し調べたことがある,具体的に把握している,定期的に確認している
5,salary-up,上司や会社に年収交渉をしたことがありますか？,action,1.3,experience,全くない,考えたことはある,準備したことがある,実際に交渉したことがある,定期的に条件交渉している
6,salary-up,副業や投資などの収入源を持っていますか？,sidejob,1.2,experience,全くない,興味はある,調べたことがある,少額でも始めている,継続的な収入源がある
7,salary-up,キャリアの5年後ビジョンを言語化できていますか？,awareness,1.1,behavior,全くできていない,なんとなく考えている,大まかには言える,具体的に説明できる,行動計画まで落とし込めている
8,salary-up,新しいスキルや資格の取得に取り組んでいますか？,action,1.2,behavior,まだ取り組んでいない,興味はある,情報収集している,学習を始めている,継続的に取り組んでいる
9,salary-up,業界の情報収集を定期的にしていますか？,market,1.0,frequency,ほぼしていない,思い出したときに見る,月に数回チェックしている,週1〜2回チェックしている,毎日チェックしている
10,salary-up,自分の強みを他者に説明できますか？,market,1.0,behavior,全く説明できない,なんとなくなら言える,簡単には説明できる,具体例を交えて説明できる,相手に合わせて説明できる
11,salary-up,自分の強みを言語化できていますか？,market,1.1,behavior,全くできていない,ぼんやりとは分かる,短くなら言える,具体的に言語化できている,仕事や収入に結びつけて説明できる
12,salary-up,収入を増やす行動予定を毎週決めていますか？,habit,1.2,frequency,全く決めていない,たまに考える程度,月に1〜2回決めている,週1回は決めている,毎週必ず決めて実行している
13,salary-up,週に一度は振り返りの時間を取れていますか？,habit,1.1,frequency,ほぼ取れていない,月に数回程度,週1回程度,週2〜3回程度,ほぼ毎日振り返っている
14,salary-up,本業以外の収入源を意識していますか？,sidejob,1.1,behavior,全く意識していない,興味はある,情報収集している,具体的に準備している,すでに収入源がある
15,salary-up,新しい人や情報に積極的に触れていますか？,market,1.0,behavior,ほとんど触れていない,たまに情報を見る,定期的に情報収集している,人との接点も増やしている,継続的に機会を作っている
16,salary-up,副業・フリーランス・投資の仕組みを調べたことがありますか？,sidejob,1.2,experience,全くない,名前は聞いたことがある,概要を調べたことがある,具体的に仕組みを理解している,実際に活用している
17,salary-up,行動したことを記録・振り返る習慣がありますか？,habit,1.2,behavior,全く記録していない,たまに思い返す程度,ときどき記録している,定期的に記録している,記録と改善が習慣になっている
18,salary-up,年収アップのために毎日何か一つ行動していますか？,habit,1.3,frequency,全くやっていない,週に1〜2回程度,週3〜4回程度,ほぼ毎日やっている,毎日必ず行動している
